"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"19:11:01:386","788511077610","   0.000","  34.565"," 2593"," 1200"," 2600"," 2600","  20.127","  19.936","   5.538","  16.199","  16.045","   4.457"," 59","0"," 48"," 61","   2.188","   2.167","   0.602","  45.000","  800","  800"
"19:11:02:376","790697159244","   0.990","  32.837"," 2593"," 1200"," 2600"," 2600","  24.394","  44.087","  12.246","  15.020","  30.916","   8.588"," 56","0"," 51"," 61","   2.828","   4.967","   1.380","  45.000"," 1050"," 1100"
"19:11:03:366","792883130732","   1.980","  31.857"," 2591"," 1200"," 2700"," 2597","  21.859","  65.728","  18.258","  14.416","  45.188","  12.552"," 53","0"," 49"," 61","   2.373","   7.317","   2.032","  45.000","  900","  900"
"19:11:04:357","795070314486","   2.971","   4.962"," 1821"," 1200"," 2600"," 1830","   2.625","  68.329","  18.980","   1.802","  46.972","  13.048"," 50","0"," 46"," 53","   0.725","   8.035","   2.232","  45.000","    0","    0"
"19:11:05:348","797257911884","   3.961","   4.183"," 1856"," 1200"," 2600"," 1862","   2.262","  70.570","  19.603","   1.609","  48.566","  13.491"," 48","0"," 45"," 52","   0.659","   8.688","   2.413","  45.000","    0","    0"
"19:11:06:338","799444785640","   4.952","   4.803"," 1692"," 1200"," 2600"," 1700","   2.317","  72.864","  20.240","   1.550","  50.101","  13.917"," 49","0"," 45"," 51","   0.721","   9.403","   2.612","  45.000","    0","    0"
"19:11:07:329","801632989756","   5.943","   8.101"," 1853"," 1200"," 2600"," 1858","   4.960","  77.780","  21.605","   2.926","  53.001","  14.723"," 49","0"," 46"," 51","   1.184","  10.576","   2.938","  45.000","  400","  400"
"19:11:08:319","803818987464","   6.933","  19.829"," 2415"," 1200"," 2600"," 2423","  12.136","  89.795","  24.943","   8.502","  61.418","  17.061"," 54","0"," 47"," 58","   1.786","  12.344","   3.429","  45.000","    0","    0"
"19:11:09:309","806005315974","   7.923","  32.595"," 2594"," 2500"," 2600"," 2600","  19.030"," 108.639","  30.177","  14.942","  76.214","  21.171"," 59","0"," 50"," 61","   2.405","  14.726","   4.091","  45.000","  600","  600"
"19:11:10:300","808193209844","   8.914","  24.873"," 2515"," 1200"," 2600"," 2522","  16.639"," 125.126","  34.757","  11.255","  87.367","  24.268"," 52","0"," 48"," 61","   2.500","  17.203","   4.779","  45.000","  700","  700"
"19:11:11:291","810381423682","   9.905","   7.212"," 2091"," 1200"," 2600"," 2101","   3.999"," 129.090","  35.858","   3.042","  90.382","  25.106"," 49","0"," 46"," 56","   0.835","  18.031","   5.009","  45.000","    0","    0"
"19:11:12:282","812569684132","  10.896","   3.891"," 1558"," 1200"," 2600"," 1569","   1.942"," 131.014","  36.393","   1.202","  91.573","  25.437"," 48","0"," 46"," 51","   0.700","  18.725","   5.201","  45.000","    0","    0"
"19:11:13:273","814757929626","  11.887","   3.006"," 1538"," 1200"," 2600"," 1549","   1.645"," 132.644","  36.846","   1.002","  92.567","  25.713"," 49","0"," 45"," 49","   0.666","  19.385","   5.385","  45.000","    0","    0"
"19:11:14:264","816946186718","  12.878","   4.180"," 1940"," 1200"," 2600"," 1952","   2.309"," 134.933","  37.481","   1.754","  94.305","  26.196"," 48","0"," 45"," 52","   0.633","  20.012","   5.559","  45.000","    0","    0"
"19:11:15:255","819132650504","  13.869","   3.367"," 1560"," 1200"," 2600"," 1566","   1.598"," 136.515","  37.921","   1.051","  95.346","  26.485"," 48","0"," 45"," 49","   0.645","  20.651","   5.736","  45.000","    0","    0"
"19:11:16:245","821320142476","  14.859","   8.293"," 1800"," 1200"," 2600"," 1807","   5.645"," 142.108","  39.474","   2.968","  98.287","  27.302"," 49","0"," 45"," 51","   1.387","  22.025","   6.118","  45.000","  450","  433"
"19:11:17:236","823506188194","  15.849","  21.980"," 2480"," 1200"," 2600"," 2487","  12.793"," 154.773","  42.993","   9.830"," 108.019","  30.005"," 59","0"," 46"," 59","   1.742","  23.749","   6.597","  45.000","  400","  400"
"19:11:18:227","825694382236","  16.840","  28.512"," 2594"," 2500"," 2600"," 2600","  18.271"," 172.881","  48.022","  13.596"," 121.493","  33.748"," 57","0"," 49"," 60","   2.482","  26.209","   7.280","  45.000","    0","    0"
"19:11:19:218","827882700362","  17.832","  12.652"," 2427"," 1200"," 2600"," 2434","   8.381"," 181.187","  50.330","   6.108"," 127.546","  35.429"," 51","0"," 46"," 59","   1.299","  27.496","   7.638","  45.000","    0","    0"
"19:11:20:209","830070993552","  18.823","   3.069"," 1509"," 1200"," 2600"," 1511","   1.411"," 182.585","  50.718","   0.916"," 128.454","  35.682"," 48","0"," 45"," 50","   0.622","  28.113","   7.809","  45.000","    0","    0"
"19:11:21:200","832259191800","  19.814","   3.116"," 1692"," 1200"," 2600"," 1697","   1.847"," 184.416","  51.227","   1.147"," 129.591","  35.997"," 48","0"," 45"," 49","   0.687","  28.793","   7.998","  45.000","    0","    0"
"19:11:22:190","834445469484","  20.804","   2.921"," 1552"," 1200"," 2600"," 1563","   1.389"," 185.791","  51.609","   0.913"," 130.495","  36.249"," 48","0"," 45"," 48","   0.611","  29.398","   8.166","  45.000","    0","    0"
"19:11:23:180","836631813060","  21.794","   2.760"," 1528"," 1200"," 2600"," 1534","   1.392"," 187.169","  51.992","   0.877"," 131.363","  36.490"," 48","0"," 44"," 49","   0.631","  30.023","   8.340","  45.000","    0","    0"
"19:11:24:170","838818443362","  22.784","   4.883"," 1752"," 1200"," 2600"," 1764","   4.217"," 191.346","  53.152","   1.835"," 133.180","  36.994"," 49","0"," 44"," 50","   1.211","  31.223","   8.673","  45.000","  650","  633"
"19:11:25:161","841005464786","  23.775","  23.665"," 2563"," 1200"," 2600"," 2570","  14.933"," 206.137","  57.260","  11.092"," 144.166","  40.046"," 57","0"," 45"," 59","   1.893","  33.098","   9.194","  45.000","  700","  700"
"19:11:26:151","843191957860","  24.765","  27.550"," 2593"," 2200"," 2600"," 2599","  18.959"," 224.912","  62.476","  13.380"," 157.416","  43.727"," 55","0"," 49"," 59","   2.569","  35.641","   9.900","  45.000","  800","  800"
"19:11:27:142","845378759228","  25.756","  10.666"," 2171"," 1200"," 2600"," 2178","   7.524"," 232.363","  64.545","   4.602"," 161.973","  44.993"," 50","0"," 46"," 57","   1.381","  37.009","  10.280","  45.000","    0","    0"
"19:11:28:133","847566944718","  26.747","   7.102"," 2104"," 1200"," 2600"," 2115","   3.470"," 235.802","  65.501","   2.853"," 164.801","  45.778"," 48","0"," 46"," 56","   0.699","  37.702","  10.473","  45.000","    0","    0"
"19:11:29:124","849755217586","  27.738","   5.775"," 1944"," 1200"," 2600"," 1954","   3.009"," 238.785","  66.329","   2.194"," 166.975","  46.382"," 48","0"," 45"," 53","   0.724","  38.419","  10.672","  45.000","    0","    0"
"19:11:30:114","851941241918","  28.728","   6.086"," 2030"," 1200"," 2600"," 2043","   2.721"," 241.478","  67.077","   2.074"," 169.028","  46.952"," 51","0"," 45"," 53","   0.676","  39.088","  10.858","  45.000","    0","    0"
"19:11:31:105","854129527920","  29.719","   3.338"," 1532"," 1200"," 2600"," 1537","   1.517"," 242.982","  67.495","   1.015"," 170.034","  47.232"," 48","0"," 45"," 51","   0.606","  39.689","  11.025","  45.000","    0","    0"
"19:11:32:096","856317747736","  30.710","   4.265"," 1752"," 1200"," 2600"," 1755","   2.901"," 245.857","  68.294","   1.541"," 171.561","  47.656"," 49","0"," 44"," 50","   0.936","  40.616","  11.282","  45.000","  450","  433"
"19:11:33:086","858504052238","  31.700","  16.790"," 2452"," 1200"," 2600"," 2460","  10.783"," 256.533","  71.259","   7.624"," 179.110","  49.753"," 56","0"," 45"," 58","   1.682","  42.282","  11.745","  45.000","  550","  533"
"19:11:34:076","860690561348","  32.690","  26.104"," 2577"," 1200"," 2600"," 2583","  17.699"," 274.061","  76.128","  12.584"," 191.572","  53.214"," 53","0"," 49"," 58","   2.394","  44.653","  12.404","  45.000","  800","  800"
"19:11:35:068","862878927032","  33.681","  13.786"," 2397"," 1200"," 2600"," 2404","   9.039"," 283.020","  78.617","   6.167"," 197.683","  54.912"," 50","0"," 46"," 59","   1.510","  46.150","  12.819","  45.000","    0","    0"
"19:11:36:058","865065046518","  34.672","   5.531"," 2016"," 1200"," 2600"," 2025","   2.812"," 285.804","  79.390","   2.196"," 199.857","  55.516"," 48","0"," 45"," 56","   0.711","  46.854","  13.015","  45.000","    0","    0"
"19:11:37:048","867251419036","  35.662","   2.936"," 1577"," 1200"," 2600"," 1588","   1.543"," 287.332","  79.814","   0.928"," 200.776","  55.771"," 48","0"," 45"," 51","   0.660","  47.508","  13.197","  45.000","    0","    0"
"19:11:38:039","869439631032","  36.653","   3.211"," 1677"," 1200"," 2600"," 1687","   1.560"," 288.878","  80.244","   1.007"," 201.775","  56.049"," 48","0"," 44"," 50","   0.650","  48.152","  13.376","  45.000","    0","    0"
"19:11:39:030","871627864392","  37.644","   3.578"," 1489"," 1200"," 2600"," 1495","   1.559"," 290.423","  80.673","   1.041"," 202.806","  56.335"," 48","0"," 44"," 48","   0.652","  48.798","  13.555","  45.000","    0","    0"
"19:11:40:020","873814187278","  38.634","   5.651"," 1870"," 1200"," 2600"," 1878","   4.444"," 294.823","  81.895","   2.165"," 204.950","  56.930"," 52","0"," 45"," 53","   1.226","  50.012","  13.892","  45.000","  450","  433"
"19:11:41:011","876000926198","  39.624","  26.403"," 2594"," 2400"," 2600"," 2600","  16.418"," 311.083","  86.412","  12.586"," 217.415","  60.393"," 56","0"," 47"," 59","   2.060","  52.053","  14.459","  45.000","  600","  600"
"19:11:42:002","878189196166","  40.615","  25.558"," 2582"," 1200"," 2600"," 2587","  17.450"," 328.377","  91.216","  12.398"," 229.702","  63.806"," 51","0"," 49"," 60","   2.506","  54.537","  15.149","  45.000","    0","    0"
"19:11:42:992","880375756422","  41.606","   6.345"," 2089"," 1200"," 2600"," 2099","   3.496"," 331.839","  92.177","   2.676"," 232.352","  64.542"," 48","0"," 45"," 55","   0.776","  55.305","  15.363","  45.000","    0","    0"
"19:11:43:983","882563954480","  42.597","   5.514"," 1564"," 1200"," 2600"," 1556","   2.421"," 334.239","  92.844","   1.666"," 234.003","  65.001"," 51","0"," 45"," 51","   0.666","  55.965","  15.546","  45.000","    0","    0"
"19:11:44:974","884752148036","  43.588","   5.071"," 1498"," 1200"," 2600"," 1505","   2.238"," 336.457","  93.460","   1.476"," 235.466","  65.407"," 48","0"," 45"," 52","   0.675","  56.633","  15.731","  45.000","    0","    0"
"19:11:45:965","886940460414","  44.579","   3.069"," 1637"," 1200"," 2600"," 1637","   1.608"," 338.051","  93.903","   1.032"," 236.489","  65.691"," 48","0"," 44"," 49","   0.646","  57.273","  15.909","  45.000","    0","    0"
"19:11:46:956","889127687152","  45.570","   2.756"," 1540"," 1200"," 2600"," 1548","   1.215"," 339.254","  94.237","   0.804"," 237.285","  65.912"," 48","0"," 44"," 49","   0.591","  57.858","  16.072","  45.000","    0","    0"
"19:11:47:947","891315834036","  46.561","  11.815"," 2295"," 1200"," 2600"," 2305","   8.144"," 347.325","  96.479","   5.110"," 242.349","  67.319"," 54","0"," 44"," 56","   1.477","  59.322","  16.478","  45.000","    0","    0"
"19:11:48:937","893502320784","  47.551","  25.849"," 2594"," 2400"," 2700"," 2600","  16.571"," 363.734"," 101.037","  12.479"," 254.707","  70.752"," 58","0"," 47"," 59","   2.219","  61.520","  17.089","  45.000","  600","  600"
"19:11:49:928","895690614818","  48.542","  18.167"," 2506"," 1200"," 2600"," 2512","  12.540"," 376.162"," 104.489","   8.466"," 263.097","  73.082"," 50","0"," 46"," 60","   1.868","  63.371","  17.603","  45.000","    0","    0"
"19:11:50:918","897877155560","  49.532","   5.018"," 2042"," 1200"," 2600"," 2050","   2.618"," 378.755"," 105.210","   2.036"," 265.113","  73.642"," 48","0"," 45"," 56","   0.692","  64.056","  17.793","  45.000","    0","    0"
"19:11:51:909","900065434916","  50.523","   2.904"," 1639"," 1200"," 2600"," 1650","   1.662"," 380.402"," 105.667","   1.032"," 266.136","  73.927"," 48","0"," 44"," 51","   0.668","  64.718","  17.977","  45.000","    0","    0"
"19:11:52:900","902253680090","  51.514","   2.631"," 1553"," 1200"," 2600"," 1562","   1.346"," 381.736"," 106.038","   0.853"," 266.980","  74.161"," 47","0"," 44"," 50","   0.613","  65.326","  18.146","  45.000","    0","    0"
"19:11:53:891","904440954324","  52.505","   3.350"," 1613"," 1200"," 2600"," 1620","   1.681"," 383.402"," 106.500","   1.111"," 268.081","  74.467"," 48","0"," 44"," 52","   0.647","  65.967","  18.324","  45.000","    0","    0"
"19:11:54:882","906628488744","  53.496","   4.542"," 1773"," 1200"," 2600"," 1783","   3.456"," 386.826"," 107.452","   1.702"," 269.767","  74.935"," 49","0"," 44"," 50","   1.044","  67.001","  18.611","  45.000","  450","  433"
"19:11:55:873","908816653938","  54.487","  17.029"," 2451"," 1200"," 2600"," 2457","  10.756"," 397.485"," 110.413","   7.634"," 277.333","  77.037"," 54","0"," 45"," 57","   1.657","  68.643","  19.068","  45.000","    0","    0"
"19:11:56:863","911002693960","  55.477","  22.978"," 2591"," 1700"," 2600"," 2596","  15.895"," 413.222"," 114.784","  11.607"," 288.825","  80.229"," 56","0"," 48"," 58","   2.281","  70.902","  19.695","  45.000","    0","    0"
"19:11:57:854","913191067280","  56.468","  29.902"," 2566"," 1200"," 2600"," 2572","  18.745"," 431.800"," 119.944","  13.205"," 301.912","  83.865"," 50","0"," 48"," 61","   2.485","  73.365","  20.379","  45.000","    0","    0"
"19:11:58:845","915379279586","  57.459","   5.386"," 2041"," 1200"," 2600"," 2049","   2.796"," 434.571"," 120.714","   2.163"," 304.056","  84.460"," 48","0"," 45"," 55","   0.699","  74.058","  20.572","  45.000","    0","    0"
"19:11:59:836","917566872902","  58.450","  12.281"," 1492"," 1200"," 2600"," 1446","   4.117"," 438.649"," 121.847","   2.928"," 306.957","  85.266"," 48","0"," 45"," 51","   0.661","  74.712","  20.753","  45.000","    0","    0"
"19:12:00:826","919753042636","  59.440","  17.079"," 1453"," 1200"," 2600"," 1416","   4.741"," 443.344"," 123.151","   3.705"," 310.625","  86.285"," 50","0"," 45"," 52","   0.618","  75.324","  20.923","  45.000","    0","    0"
"19:12:01:817","921941249762","  60.431","   4.114"," 1510"," 1200"," 2600"," 1492","   1.698"," 445.027"," 123.619","   1.172"," 311.787","  86.607"," 48","0"," 44"," 51","   0.603","  75.922","  21.090","  45.000","    0","    0"
"19:12:02:808","924129481142","  61.422","   4.838"," 1748"," 1200"," 2600"," 1754","   3.443"," 448.439"," 124.566","   1.746"," 313.517","  87.088"," 49","0"," 44"," 50","   0.986","  76.899","  21.361","  45.000","  550","  533"
"19:12:03:798","926315837114","  62.412","  19.066"," 2479"," 1200"," 2600"," 2486","  11.706"," 460.030"," 127.786","   8.582"," 322.015","  89.449"," 56","0"," 45"," 57","   1.665","  78.548","  21.819","  45.000","  550","  533"
"19:12:04:789","928502593132","  63.403","  24.529"," 2574"," 1200"," 2600"," 2580","  17.137"," 477.002"," 132.501","  12.265"," 334.162","  92.823"," 56","0"," 49"," 58","   2.322","  80.848","  22.458","  45.000","  600","  600"
"19:12:05:780","930690888630","  64.394","  13.265"," 2393"," 1200"," 2600"," 2400","  10.379"," 487.289"," 135.358","   6.217"," 340.324","  94.534"," 49","0"," 46"," 58","   1.854","  82.686","  22.968","  45.000","    0","    0"
"19:12:06:771","932879211730","  65.385","   5.542"," 2009"," 1200"," 2600"," 2017","   2.801"," 490.065"," 136.129","   2.194"," 342.498","  95.138"," 48","0"," 45"," 56","   0.700","  83.380","  23.161","  45.000","    0","    0"
"19:12:07:762","935067563396","  66.376","   3.182"," 1633"," 1200"," 2600"," 1638","   1.754"," 491.803"," 136.612","   1.085"," 343.574","  95.437"," 48","0"," 45"," 51","   0.687","  84.061","  23.350","  45.000","    0","    0"
"19:12:08:753","937255884440","  67.367","   4.263"," 1525"," 1200"," 2600"," 1531","   1.844"," 493.631"," 137.120","   1.239"," 344.801","  95.778"," 48","0"," 44"," 49","   0.679","  84.734","  23.537","  45.000","    0","    0"
"19:12:09:744","939444157350","  68.358","   2.837"," 1639"," 1200"," 2600"," 1642","   1.490"," 495.108"," 137.530","   0.997"," 345.789","  96.053"," 48","0"," 44"," 49","   0.612","  85.341","  23.706","  45.000","    0","    0"
"19:12:10:734","941630367396","  69.348","   3.280"," 1706"," 1200"," 2600"," 1721","   1.755"," 496.846"," 138.013","   1.135"," 346.913","  96.365"," 49","0"," 44"," 50","   0.690","  86.024","  23.896","  45.000","  400","  400"
"19:12:11:724","943816565354","  70.338","  10.859"," 2207"," 1200"," 2600"," 2216","   7.784"," 504.553"," 140.154","   4.400"," 351.269","  97.575"," 55","0"," 45"," 56","   1.549","  87.558","  24.322","  45.000","    0","    0"
"19:12:12:715","946004104214","  71.329","  23.495"," 2594"," 2300"," 2700"," 2600","  15.419"," 519.829"," 144.397","  11.764"," 362.925"," 100.812"," 56","0"," 48"," 57","   1.996","  89.536","  24.871","  45.000","  650","  633"
"19:12:13:706","948192344160","  72.320","  23.116"," 2527"," 1200"," 2700"," 2534","  17.520"," 537.192"," 149.220","  10.941"," 373.768"," 103.824"," 52","0"," 48"," 60","   2.525","  92.038","  25.566","  45.000","  900","  900"
"19:12:14:696","950378740140","  73.310","   6.665"," 2038"," 1200"," 2600"," 2046","   4.031"," 541.183"," 150.329","   2.735"," 376.477"," 104.577"," 49","0"," 45"," 56","   0.876","  92.906","  25.807","  45.000","    0","    0"
"19:12:15:688","952566994368","  74.301","   3.319"," 1641"," 1200"," 2600"," 1646","   1.829"," 542.996"," 150.832","   1.133"," 377.600"," 104.889"," 49","0"," 45"," 49","   0.693","  93.593","  25.998","  45.000","  400","  400"
"19:12:16:679","954755238824","  75.292","   3.211"," 1474"," 1200"," 2600"," 1471","   1.482"," 544.465"," 151.240","   0.963"," 378.554"," 105.154"," 48","0"," 45"," 49","   0.599","  94.186","  26.163","  45.000","    0","    0"
"19:12:17:669","956942453400","  76.283","   3.103"," 1600"," 1200"," 2600"," 1610","   1.609"," 546.058"," 151.683","   1.032"," 379.576"," 105.438"," 48","0"," 44"," 50","   0.649","  94.830","  26.342","  45.000","    0","    0"
"19:12:18:659","959128919252","  77.273","   3.226"," 1507"," 1200"," 2600"," 1511","   1.442"," 547.487"," 152.080","   0.964"," 380.531"," 105.703"," 48","0"," 44"," 49","   0.611","  95.434","  26.510","  45.000","    0","    0"
"19:12:19:651","961317259766","  78.264","   5.012"," 1791"," 1200"," 2600"," 1796","   4.263"," 551.712"," 153.253","   1.933"," 382.447"," 106.235"," 49","0"," 44"," 51","   1.227","  96.650","  26.847","  45.000","  500","  500"
"19:12:20:641","963503232260","  79.254","  24.535"," 2579"," 1200"," 2600"," 2586","  15.069"," 566.630"," 157.397","  11.610"," 393.941"," 109.428"," 54","0"," 45"," 58","   1.898","  98.530","  27.369","  45.000","    0","    0"
"19:12:21:632","965691473874","  80.246","  24.719"," 2565"," 1200"," 2600"," 2571","  17.293"," 583.768"," 162.158","  12.160"," 405.992"," 112.776"," 52","0"," 49"," 58","   2.446"," 100.954","  28.043","  45.000","  750","  733"
"19:12:22:623","967879726684","  81.237","   5.934"," 2057"," 1200"," 2600"," 2065","   3.892"," 587.626"," 163.229","   2.467"," 408.437"," 113.455"," 48","0"," 45"," 55","   0.907"," 101.853","  28.292","  45.000","    0","    0"
"19:12:23:613","970065763486","  82.227","   3.225"," 1592"," 1200"," 2600"," 1600","   1.594"," 589.204"," 163.668","   1.011"," 409.438"," 113.733"," 48","0"," 45"," 51","   0.643"," 102.490","  28.469","  45.000","    0","    0"
"19:12:24:604","972254006964","  83.218","   3.355"," 1593"," 1200"," 2600"," 1604","   1.654"," 590.842"," 164.123","   1.062"," 410.491"," 114.025"," 48","0"," 45"," 50","   0.652"," 103.137","  28.649","  45.000","    0","    0"
"19:12:25:595","974442272442","  84.209","   3.244"," 1580"," 1200"," 2600"," 1591","   1.717"," 592.544"," 164.595","   1.062"," 411.543"," 114.317"," 48","0"," 44"," 49","   0.663"," 103.793","  28.831","  45.000","    0","    0"
"19:12:26:586","976630151912","  85.200","   3.152"," 1525"," 1200"," 2600"," 1531","   1.413"," 593.944"," 164.984","   0.959"," 412.493"," 114.581"," 48","0"," 44"," 48","   0.604"," 104.392","  28.998","  45.000","    0","    0"
"19:12:27:577","978818391128","  86.191","   6.622"," 2032"," 1200"," 2600"," 2040","   4.988"," 598.887"," 166.358","   2.779"," 415.247"," 115.346"," 48","0"," 44"," 55","   1.240"," 105.620","  29.339","  45.000","  400","  400"
"19:12:28:568","981005834170","  87.181","   5.678"," 1720"," 1200"," 2600"," 1731","   5.694"," 604.528"," 167.924","   2.194"," 417.420"," 115.950"," 48","0"," 45"," 50","   1.499"," 107.105","  29.751","  45.000","  450","  433"
"19:12:29:559","983194079190","  88.173","   5.275"," 1682"," 1200"," 2600"," 1690","   5.377"," 609.857"," 169.405","   2.010"," 419.412"," 116.503"," 48","0"," 45"," 50","   1.496"," 108.588","  30.163","  45.000","  450","  433"
"19:12:30:549","985380500296","  89.163","   7.019"," 1936"," 1200"," 2600"," 1945","   6.152"," 615.949"," 171.097","   2.597"," 421.983"," 117.218"," 49","0"," 45"," 53","   1.503"," 110.077","  30.577","  45.000","    0","    0"
"19:12:31:539","987566765316","  90.153","   9.393"," 2142"," 1200"," 2600"," 2152","   7.376"," 623.252"," 173.126","   3.887"," 425.832"," 118.287"," 56","0"," 45"," 56","   1.550"," 111.611","  31.003","  45.000","    0","    0"
"19:12:32:529","989753052494","  91.143","  24.047"," 2594"," 2200"," 2700"," 2600","  15.621"," 638.719"," 177.422","  12.104"," 437.817"," 121.616"," 56","0"," 48"," 59","   1.969"," 113.561","  31.545","  45.000","  600","  600"
"19:12:33:519","991939189154","  92.133","  39.265"," 2594"," 1200"," 2600"," 2600","  22.863"," 661.356"," 183.710","  17.660"," 455.302"," 126.473"," 62","0"," 50"," 63","   2.479"," 116.015","  32.226","  45.000","  850","  833"
"19:12:34:510","994125592392","  93.123","  35.904"," 2585"," 1200"," 2600"," 2591","  21.847"," 682.990"," 189.719","  16.399"," 471.541"," 130.984"," 56","0"," 49"," 63","   2.418"," 118.409","  32.891","  45.000","  600","  600"
"19:12:35:500","996311858862","  94.114","  40.419"," 2581"," 1200"," 2600"," 2587","  22.183"," 704.955"," 195.821","  17.952"," 489.316"," 135.921"," 63","0"," 49"," 64","   2.344"," 120.729","  33.536","  45.000","  650","  633"
"19:12:36:490","998497860488","  95.104","  43.128"," 2573"," 1200"," 2600"," 2579","  23.091"," 727.815"," 202.171","  18.626"," 507.757"," 141.044"," 63","0"," 50"," 65","   2.501"," 123.205","  34.224","  45.000","  500","  500"
"19:12:37:480","1000683843700","  96.094","  58.995"," 2594"," 2500"," 2600"," 2600","  27.647"," 755.187"," 209.774","  23.956"," 531.474"," 147.632"," 65","0"," 56"," 65","   2.685"," 125.863","  34.962","  45.000","    0","    0"
"19:12:38:470","1002869868426","  97.084","  60.618"," 2594"," 2500"," 2600"," 2600","  27.587"," 782.499"," 217.361","  23.805"," 555.042"," 154.178"," 65","0"," 57"," 66","   2.770"," 128.606","  35.724","  45.000","    0","    0"
"19:12:39:460","1005055982384","  98.074","  58.860"," 2594"," 2500"," 2600"," 2600","  26.835"," 809.068"," 224.741","  23.950"," 578.754"," 160.765"," 66","0"," 57"," 66","   2.454"," 131.035","  36.399","  45.000","  350","  333"
"19:12:40:450","1007242096378","  99.064","  46.419"," 2594"," 2500"," 2600"," 2600","  25.762"," 834.575"," 231.826","  21.163"," 599.708"," 166.586"," 63","0"," 55"," 66","   2.543"," 133.553","  37.098","  45.000","  500","  500"
"19:12:41:441","1009430189878"," 100.055","  21.469"," 2308"," 1200"," 2600"," 2315","  13.402"," 847.856"," 235.516","   9.311"," 608.935"," 169.149"," 55","0"," 50"," 65","   1.806"," 135.342","  37.595","  45.000","  700","  700"
"19:12:42:432","1011617749388"," 101.046","   7.220"," 1822"," 1200"," 2600"," 1827","   6.492"," 854.289"," 237.302","   2.871"," 611.780"," 169.939"," 53","0"," 49"," 57","   1.479"," 136.808","  38.002","  45.000","    0","    0"
"19:12:43:423","1013805271810"," 102.036","  12.268"," 2230"," 1200"," 2600"," 2237","   9.077"," 863.281"," 239.800","   5.361"," 617.091"," 171.414"," 54","0"," 49"," 58","   1.573"," 138.366","  38.435","  45.000","  650","  633"
"19:12:44:413","1015992230188"," 103.027","  24.996"," 2480"," 1200"," 2700"," 2487","  13.751"," 876.901"," 243.584","  10.658"," 627.648"," 174.347"," 61","0"," 49"," 63","   1.816"," 140.165","  38.935","  45.000","  450","  433"
"19:12:45:403","1018179059040"," 104.017","  21.553"," 2550"," 1200"," 2600"," 2557","  16.911"," 893.650"," 248.236","  10.245"," 637.794"," 177.165"," 55","0"," 52"," 64","   2.544"," 142.685","  39.635","  45.000","  950","  933"
"19:12:46:394","1020365267072"," 105.007","  14.364"," 2497"," 1200"," 2600"," 2511","  16.350"," 909.839"," 252.733","   7.425"," 645.146"," 179.207"," 58","0"," 52"," 60","   2.455"," 145.116","  40.310","  45.000"," 1050"," 1033"
"19:12:47:384","1022552852788"," 105.998","  21.123"," 2557"," 1200"," 2600"," 2573","  19.468"," 929.127"," 258.091","   9.939"," 654.993"," 181.942"," 57","0"," 53"," 63","   2.581"," 147.673","  41.020","  45.000"," 1050"," 1100"
"19:12:48:375","1024739367360"," 106.988","  20.847"," 2524"," 1200"," 2600"," 2533","  18.855"," 947.798"," 263.277","   9.896"," 664.792"," 184.665"," 62","0"," 53"," 64","   2.545"," 150.193","  41.720","  45.000"," 1000"," 1000"
"19:12:49:365","1026925436258"," 107.979","  31.887"," 2594"," 2500"," 2600"," 2600","  23.849"," 971.410"," 269.836","  15.120"," 679.762"," 188.823"," 62","0"," 56"," 65","   2.750"," 152.916","  42.477","  45.000","    0","    0"
"19:12:50:355","1029111651038"," 108.969","  29.405"," 2594"," 2400"," 2600"," 2600","  21.384"," 992.583"," 275.718","  14.159"," 693.782"," 192.717"," 65","0"," 55"," 65","   2.658"," 155.547","  43.208","  45.000","    0","    0"
"19:12:51:345","1031298128406"," 109.959","  30.664"," 2594"," 1300"," 2600"," 2600","  22.179","1014.546"," 281.818","  14.857"," 708.494"," 196.804"," 60","0"," 56"," 65","   2.744"," 158.264","  43.962","  45.000","    0","    0"
"19:12:52:335","1033484573298"," 110.949","  10.375"," 2308"," 1200"," 2600"," 2319","  13.883","1028.293"," 285.637","   5.138"," 713.582"," 198.217"," 58","0"," 53"," 60","   2.348"," 160.590","  44.608","  45.000"," 1000"," 1000"
"19:12:53:325","1035670656212"," 111.939","  12.228"," 2435"," 1200"," 2600"," 2460","  15.654","1043.792"," 289.942","   6.286"," 719.805"," 199.946"," 59","0"," 54"," 62","   2.394"," 162.960","  45.267","  45.000"," 1050"," 1033"
"19:12:54:316","1037856843020"," 112.929","  18.676"," 2500"," 1200"," 2600"," 2524","  17.567","1061.185"," 294.774","   8.667"," 728.386"," 202.330"," 63","0"," 55"," 63","   2.423"," 165.359","  45.933","  45.000","  900","  900"
